,plot_key,date.x,light_dark,time_in,time_out,ch4_umol_m2_s,co2_umol_m2_s,ch4_mgCH4_m2_d,co2_gC_m2_d,avg_par,surface_temp,air_temp,x5cm_soil_temp,x12cm_soil_temp,soil_moisture_avg,vegetation_avg,functional_group,prevelant_vegetation,chamber_mean_temp,slope_aspect,soil_depth_1,soil_depth_2,soil_depth_3,soil_depth_avg,vegetation_height_1,vegetation_height_2,vegetation_height_3,vegetation_height_4,vegetation_height_5,date.y,veg_height_mean,veg_height_max,veg_height_sd,soil_depth_min,soil_depth_max,total_cover_all,cover_Prostrate.Shrub,cover_Barren,cover_Graminoid,cover_Forb,cover_Erect.Shrub,prop_Prostrate.Shrub,prop_Barren,prop_Graminoid,prop_Forb,prop_Erect.Shrub,richness,H,evenness,cover_shrub,cover_graminoid,cover_forb,cover_moss,cover_lichen,shrub_to_herb,bryo_lichen_sum,gcc_mean,gcc_med,gcc_p90,exg_mean,vari_mean,bulk_density_g_cm3,volumetric_water_content_percent,total_n,no3_n,nh4_n,p,k,ca,mg,s,fe,mn,cu,zn,b,al,cd,date,p_h,ER_umol_m2_s,GPP_umol_m2_s,ER_gC_m2_d,GPP_gC_m2_d,bm_forb,bm_moss_lichen,bm_shrub,bm_dead,bm_graminoid,bm_biomass_total_g,bm_prop_forb,bm_prop_moss_lichen,bm_prop_shrub,bm_prop_dead,bm_prop_graminoid,total_N,total_C,LOI_mean,LOI_sd,inorg_C,Lat,Lon,Elevation (ft)
1,Cas_1,7/21/2025,D,19:53,19:59,-0.000130135,2.408993049,-0.180348676,2.497643993,2038,19.7,21.2,13,9.9,18.23333333,3,Prostrate Shrub,Net-leaved Willow,18.23,7,5.1,34,34,24.36666667,3,4,3,5,2,7/21/2025,3.4,5,1.140175425,5.1,34,100,100,0,0,0,0,1,0,0,0,0,1,0,NA,100,0,0,0,0,100000000,0,0.396710254,0.40060241,0.479591837,0.164413775,-31.19591325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/6/2025,NA,2.408993049,3.365487976,2.497643993,3.489337934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39,6.07,NA,NA,NA,59.29098,-129.75737,5590
2,Cas_1,7/21/2025,L,19:48,19:53,0.000523498,-0.956494927,0.725492195,-0.99169394,2038,19.7,21.2,13,9.9,18.23333333,3,Prostrate Shrub,Net-leaved Willow,18.23,7,5.1,34,34,24.36666667,3,4,3,5,2,7/21/2025,3.4,5,1.140175425,5.1,34,100,100,0,0,0,0,1,0,0,0,0,1,0,NA,100,0,0,0,0,100000000,0,0.396710254,0.40060241,0.479591837,0.164413775,-31.19591325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/6/2025,NA,2.408993049,3.365487976,2.497643993,3.489337934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39,6.07,NA,NA,NA,NA,NA,NA
3,Cas_10,7/21/2025,D,20:11,20:14,-0.000096,1.392917774,-0.133013526,1.444177148,1507,25.2,19.7,14.8,9.7,15.63333333,21,Graminoid,Meadow,18.23,8,21,46,26,31,23,20,18,23,21,7/21/2025,21,23,2.121320344,21,46,100,15,5,80,0,0,0.15,0.05,0.8,0,0,3,0.612869452,0.557857816,15,80,0,0,0,0.187499998,0,0.352364315,0.343137255,0.409836066,0.063924417,-42.07953891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/6/2025,NA,1.392917774,2.80458199,1.444177148,2.907790608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,3.45,NA,NA,NA,59.29094,-129.7574,5590
4,Cas_10,7/21/2025,L,20:06,20:11,-0.000494292,-1.411664216,-0.68501796,-1.463613459,1507,25.2,19.7,14.8,9.7,15.63333333,21,Graminoid,Meadow,18.23,8,21,46,26,31,23,20,18,23,21,7/21/2025,21,23,2.121320344,21,46,100,15,5,80,0,0,0.15,0.05,0.8,0,0,3,0.612869452,0.557857816,15,80,0,0,0,0.187499998,0,0.352364315,0.343137255,0.409836066,0.063924417,-42.07953891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/6/2025,NA,1.392917774,2.80458199,1.444177148,2.907790608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,3.45,NA,NA,NA,NA,NA,NA
5,Cas_100,7/22/2025,D,20:23,20:28,-0.001138435,3.432439993,-1.577706852,3.558753784,458,19.3,15.1,11.7,10.1,30.3,2,Prostrate Shrub,Arctic Willow,21.1334375,0,25,18,24,22.33333333,3,0,5,3,1,7/22/2025,2.4,5,1.949358869,18,25,100,40,30,15,15,0,0.4,0.3,0.15,0.15,0,4,1.29684413,0.935475297,40,15,15,0,0,1.333333289,0,0.344699214,0.333873582,0.453125,0.043301178,-200.1184864,NA,NA,8,0.6,7.4,22.61,70.7,895,671.5,16.8,2.65,2.54,0.07,1.21,3.57,24.3,0.024,8/7/2025,NA,3.432439993,3.636881318,3.558753784,3.770718551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51,7.68,NA,NA,0.007,59.2909,-129.75742,5588
6,Cas_100,7/22/2025,L,20:18,20:23,-0.002152908,-0.204441326,-2.983619945,-0.211964766,458,19.3,15.1,11.7,10.1,30.3,2,Prostrate Shrub,Arctic Willow,21.1334375,0,25,18,24,22.33333333,3,0,5,3,1,7/22/2025,2.4,5,1.949358869,18,25,100,40,30,15,15,0,0.4,0.3,0.15,0.15,0,4,1.29684413,0.935475297,40,15,15,0,0,1.333333289,0,0.344699214,0.333873582,0.453125,0.043301178,-200.1184864,NA,NA,8,0.6,7.4,22.61,70.7,895,671.5,16.8,2.65,2.54,0.07,1.21,3.57,24.3,0.024,8/7/2025,NA,3.432439993,3.636881318,3.558753784,3.770718551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51,7.68,NA,NA,0.007,NA,NA,NA
7,Cas_11,7/21/2025,D,20:34,20:38,-0.00000254,-0.406192686,-0.003518284,-0.421140577,1702,41.7,23.5,12.2,8.4,18.16666667,17,Graminoid,Meadow,18.23,11,37,27,52,38.66666667,24,20,8,10,25,7/21/2025,17.4,25,7.924645102,27,52,100,15,10,70,5,0,0.15,0.1,0.7,0.05,0,4,0.914285581,0.659517637,15,70,5,0,0,0.199999997,0,0.352297677,0.341880342,0.414285714,0.066852209,-20.3360755,NA,NA,42.2,0,42.2,32.69,114.8,475,235.9,29,1.96,5.53,0.05,1.77,0.62,7.3,0.014,8/6/2025,6.8,-0.406192686,-0.308785966,-0.421140577,-0.320149289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.62,9.94,NA,NA,0.005,59.29087,-129.75745,5586
8,Cas_11,7/21/2025,L,20:30,20:34,-0.0000833,-0.097406721,-0.115402539,-0.100991288,1702,41.7,23.5,12.2,8.4,18.16666667,17,Graminoid,Meadow,18.23,11,37,27,52,38.66666667,24,20,8,10,25,7/21/2025,17.4,25,7.924645102,27,52,100,15,10,70,5,0,0.15,0.1,0.7,0.05,0,4,0.914285581,0.659517637,15,70,5,0,0,0.199999997,0,0.352297677,0.341880342,0.414285714,0.066852209,-20.3360755,NA,NA,42.2,0,42.2,32.69,114.8,475,235.9,29,1.96,5.53,0.05,1.77,0.62,7.3,0.014,8/6/2025,6.8,-0.406192686,-0.308785966,-0.421140577,-0.320149289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.62,9.94,NA,NA,0.005,NA,NA,NA
9,Cas_12,7/21/2025,D,20:45,20:51,-0.000701048,3.725175668,-0.971551587,3.862262132,1176,24.6,19.4,12.8,8.2,22.33333333,1,Barren,Barren,18.23,5,30,22,16,22.66666667,1,0.5,0,1,1,7/21/2025,0.7,1,0.447213595,16,30,100,15,80,0,5,0,0.15,0.8,0,0.05,0,3,0.612869452,0.557857816,15,0,5,0,0,2.9999994,0,0.370206561,0.349705305,0.455555556,0.085683016,-0.06682899,0.118044818,12.87432306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/6/2025,NA,3.725175668,2.648655406,3.862262132,2.746125925,0.2288,69.2677,3.4682,0,0,72.9647,0.003135763,0.949331663,0.047532574,0,0,1.09,15.95,88.1326041,0.602099028,NA,59.29083,-129.75748,5586
10,Cas_12,7/21/2025,L,20:43,20:45,-0.000257481,1.076520262,-0.356831101,1.116136208,1176,24.6,19.4,12.8,8.2,22.33333333,1,Barren,Barren,18.23,5,30,22,16,22.66666667,1,0.5,0,1,1,7/21/2025,0.7,1,0.447213595,16,30,100,15,80,0,5,0,0.15,0.8,0,0.05,0,3,0.612869452,0.557857816,15,0,5,0,0,2.9999994,0,0.370206561,0.349705305,0.455555556,0.085683016,-0.06682899,0.118044818,12.87432306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/6/2025,NA,3.725175668,2.648655406,3.862262132,2.746125925,0.2288,69.2677,3.4682,0,0,72.9647,0.003135763,0.949331663,0.047532574,0,0,1.09,15.95,88.1326041,0.602099028,NA,NA,NA,NA
11,Cas_13,7/21/2025,D,21:05,21:11,0.000057,3.44682371,0.079052271,3.573666822,585,26.3,18.7,12.7,7.9,28.96666667,24,Graminoid,Meadow,18.23,16,19,29,16,21.33333333,48,13,23,20,16.5,7/21/2025,24.1,48,13.87623868,16,29,100,15,15,70,0,0,0.15,0.15,0.7,0,0,3,0.818808456,0.745311576,15,70,0,0,0,0.214285711,0,0.346616101,0.339514979,0.402332362,0.053370332,-65.4897499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/6/2025,NA,3.44682371,4.078918547,3.573666822,4.229022749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,8.79,NA,NA,NA,59.29078,-129.7575,5583
